Date,Open,Close,High,Low,Volume,Trading_Volume,Name,Code,Type
2025-01-02,37.99,37.1,38.23,36.85,6482274.0,242775998.0,丽珠集团,513,A
2025-01-03,37.25,36.91,37.66,36.79,6725850.0,250525074.0,丽珠集团,513,A
2025-01-06,37.0,37.34,37.38,36.88,5514300.0,205079559.0,丽珠集团,513,A
2025-01-07,37.23,36.63,37.35,36.48,6678530.0,245376283.0,丽珠集团,513,A
2025-01-08,36.92,36.3,36.92,36.0,6677677.0,243097457.0,丽珠集团,513,A
2025-01-09,36.25,36.12,36.6,35.86,4729116.0,171595761.0,丽珠集团,513,A
2025-01-10,36.13,35.67,36.19,35.67,4499092.0,161629061.0,丽珠集团,513,A
2025-01-13,35.4,35.4,35.97,35.16,5064467.0,179527696.0,丽珠集团,513,A
2025-01-14,35.42,35.85,35.93,35.2,7102944.0,252887526.0,丽珠集团,513,A
2025-01-15,35.69,35.83,36.09,35.42,6065605.0,217097654.0,丽珠集团,513,A
2025-01-16,35.84,35.71,36.16,35.66,4118432.0,147796203.0,丽珠集团,513,A
2025-01-17,35.51,36.01,36.13,35.31,4763585.0,170741575.0,丽珠集团,513,A
2025-01-20,36.1,36.27,36.61,36.02,4614650.0,167876974.0,丽珠集团,513,A
2025-01-21,36.29,36.2,36.5,36.0,3145041.0,113812224.0,丽珠集团,513,A
2025-01-22,36.03,36.15,36.3,35.89,3060029.0,110379638.0,丽珠集团,513,A
2025-01-23,36.3,36.03,36.45,36.02,3102641.0,112326269.0,丽珠集团,513,A
2025-01-24,36.0,36.14,36.23,35.86,3399502.0,122682622.0,丽珠集团,513,A
2025-01-27,36.15,36.43,36.79,36.14,4105229.0,149960687.0,丽珠集团,513,A
2025-02-05,36.66,36.52,36.69,36.27,3503748.0,127884833.0,丽珠集团,513,A
2025-02-06,36.52,36.44,36.59,36.25,3761870.0,136885724.0,丽珠集团,513,A
2025-02-07,36.48,36.46,36.65,36.21,5367493.0,195906700.0,丽珠集团,513,A
2025-02-10,36.46,36.42,36.58,36.32,3783025.0,137736164.0,丽珠集团,513,A
2025-02-11,36.45,36.0,36.5,35.97,4626714.0,167047259.0,丽珠集团,513,A
2025-02-12,35.92,35.88,36.02,35.66,5009302.0,179368367.0,丽珠集团,513,A
2025-02-13,35.95,35.67,36.02,35.54,5189679.0,185633408.0,丽珠集团,513,A
