Date,Open,Close,High,Low,Volume,Trading_Volume,Name,Code,Type
2024-11-14,7.04,6.89,7.11,6.83,4761600,32991604.0,诺诚健华,09969,HK
2024-11-15,6.9,6.85,7.0,6.81,4471900,30903812.0,诺诚健华,09969,HK
2024-11-18,6.86,6.41,6.86,6.26,9367000,60175230.0,诺诚健华,09969,HK
2024-11-19,6.42,6.29,6.54,6.22,9142000,57723448.0,诺诚健华,09969,HK
2024-11-20,6.3,6.71,6.79,6.24,8829000,58213364.0,诺诚健华,09969,HK
2024-11-21,6.78,6.52,6.86,6.49,4215000,28158988.0,诺诚健华,09969,HK
2024-11-22,6.59,6.16,6.59,6.07,5190000,32370984.0,诺诚健华,09969,HK
2024-11-25,6.15,6.24,6.37,6.09,6013000,37300940.0,诺诚健华,09969,HK
2024-11-26,6.25,6.16,6.32,6.04,4295149,26407136.0,诺诚健华,09969,HK
2024-11-27,6.3,6.71,6.82,6.3,13163000,87447085.0,诺诚健华,09969,HK
2024-11-28,6.71,6.7,6.76,6.57,4632000,30792140.0,诺诚健华,09969,HK
2024-11-29,6.68,6.5,6.74,6.42,3941000,25788670.0,诺诚健华,09969,HK
2024-12-02,6.52,6.67,6.82,6.45,4391557,29332545.0,诺诚健华,09969,HK
2024-12-03,6.63,6.94,7.03,6.63,6651000,45959585.0,诺诚健华,09969,HK
2024-12-04,7.0,6.77,7.03,6.74,3192000,21889865.0,诺诚健华,09969,HK
2024-12-05,6.76,6.69,6.76,6.6,3277000,21899460.0,诺诚健华,09969,HK
2024-12-06,6.74,6.65,6.75,6.5,3513000,23300585.0,诺诚健华,09969,HK
2024-12-09,6.6,6.65,6.78,6.51,2869000,19012600.0,诺诚健华,09969,HK
2024-12-10,6.79,6.47,6.88,6.44,4592000,30327836.0,诺诚健华,09969,HK
2024-12-11,6.55,6.48,6.57,6.4,2931000,18947890.0,诺诚健华,09969,HK
2024-12-12,6.48,6.43,6.49,6.35,1694000,10885890.0,诺诚健华,09969,HK
2024-12-13,6.44,6.17,6.44,6.07,10339000,63997131.0,诺诚健华,09969,HK
2024-12-16,6.13,6.15,6.22,6.05,1744000,10676305.0,诺诚健华,09969,HK
